percentage
59.599999999999994
12.6
11.799999999999999
0.0
16.8
0.4
0.2
25.0
0.2
0.2
13.4
12.8
1.0
14.399999999999999
6.800000000000001
11.4
28.799999999999997
18.0
2.510460251046025
4.393305439330543
26.400000000000002
2.4
0.4
0.4
7.3999999999999995
0.0
24.0
2.4
4.0
8.6
7.8
5.0
8.6
0.0
