percentage
56.8
40.400000000000006
36.6
14.399999999999999
5.0
100.0
2.4
44.800000000000004
37.8
32.0
41.4
38.0
13.8
100.0
2.0
29.4
16.6
4.8
8.6
2.4
1.4000000000000001
40.400000000000006
35.8
34.4
41.199999999999996
31.2
30.599999999999998
49.4
100.0
8.200000000000001
15.2
1.8779342723004695
6.572769953051644
100.0
10.84070796460177
6.521739130434782
0.0
100.0
1.7999999999999998
0.2
40.0
0.0
100.0
0.8
0.0
4.3999999999999995
100.0
16.2
0.6
1.6
2.6
100.0
22.8
0.0
1.2
27.0
100.0
